year,month,day,time,latitude,longitude,depth (m),location,Akashiwo sanguinea (cells/L),Alexandrium spp. (cells/L),Ammonia (uM),Chlorophyll (mg/m3),Chlorophyll 1 (mg/m3),Chlorophyll 2 (mg/m3),DA Volume Filtered (mL),Dinophysis spp. (cells/L),Domoic Acid (ng/mL),Lingulodinium polyedrum (cells/L),Nitrate (uM),Nitrite (uM),Other Diatoms (cells/L),Other Dinoflagellates (cells/L),Phaeophytin (mg/m3),Phaeophytin 1 (mg/m3),Phaeophytin 2 (mg/m3),Phosphate (uM),Prorocentrum spp. (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Silicate (uM),Volume Settled for counting (mL),Water Temperature (C),Volume for counting (mL)
2008,6,30,15:00:00,32.867,-117.257,0,Scripps Pier,0,0,0.53,1.82,1.81,1.83,200,160,NaN,80,0.43,0.03,NaN,NaN,0.6,0.59,0.61,0.24,4640,8560,480,5.64,50,19.8,NaN
2008,6,30,16:20:00,33.6061,-117.9311,0,Newport Pier,0,0,2.92,2.5,2.5,2.5,200,0,NaN,0,0.8,0.21,NaN,NaN,1.05,0.9,1.2,0.33,10399,5200,0,3.9,25,18.5,NaN
2008,6,30,16:30:00,34.408,-119.685,0,Stearns Wharf,0,0,1.086,12.14,12.14,NaN,200,7000,0.05,1000,0.11,0.219,NaN,NaN,2.05,2.05,NaN,0.851,470000,55000,345000,6.932,50,18,NaN
2008,7,2,14:50:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.58,2.08,2.04,2.12,200,NaN,NaN,NaN,0.12,0,NaN,NaN,0.53,0.53,0.52,0.19,NaN,NaN,NaN,6.5,NaN,19.7,NaN
2008,7,7,14:35:00,34.008,-118.499,0,Santa Monica Pier,0,1122,1.5,3.43671,3.43671,NaN,200,0,NaN,6732,0.88,0.1,13651,14025,NaN,NaN,NaN,0.29,9724,2244,0,6.71,NaN,21,500
2008,7,7,15:00:00,32.867,-117.257,0,Scripps Pier,80,0,1.06,2.71,2.68,2.73,200,0,NaN,80,0.83,0.04,NaN,NaN,1.18,1.24,1.12,0.37,1040,55200,160,5.1,50,17.3,NaN
2008,7,7,16:30:00,34.408,-119.685,0,Stearns Wharf,0,0,0.986,4.21,4.21,NaN,200,700,0.05,800,0.006,0.313,NaN,NaN,1.25,1.25,NaN,1.202,23000,2000,59000,10.673,50,18,NaN
2008,7,8,13:50:00,33.6061,-117.9311,0,Newport Pier,0,0,2.38,2.08,2.04,2.13,200,0,NaN,0,0.44,NaN,NaN,NaN,1,1,1,0.13,0,363978,41598,2.4,25,NaN,NaN
2008,7,10,15:40:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.47,1.32,1.3,1.34,200,NaN,NaN,NaN,0.24,0.01,NaN,NaN,0.52,0.51,0.53,0.24,NaN,NaN,NaN,5,NaN,19.5,NaN
2008,7,14,14:55:00,32.867,-117.257,0,Scripps Pier,80,0,0.31,1,0.99,1,200,0,NaN,240,0.14,0.01,NaN,NaN,0.55,0.55,0.54,0.28,960,15120,480,4.1,50,21.7,NaN
2008,7,14,15:00:00,34.008,-118.499,0,Santa Monica Pier,26292,0,1.67,6.4152,6.4152,NaN,200,0,NaN,0,0.6,0.07,11594,0,NaN,NaN,NaN,0.19,374,486,0,5.59,NaN,21,500
2008,7,14,15:05:00,33.6061,-117.9311,0,Newport Pier,0,0,3.6,6.55,5.9,7.21,200,5200,NaN,5200,0.45,NaN,NaN,NaN,2.95,3,2.9,0.29,57197,41598,20799,5.3,25,19.5,NaN
2008,7,14,17:15:00,34.408,-119.685,0,Stearns Wharf,500,0,1.26,1.92,1.92,NaN,200,300,0,0,0.341,0.093,NaN,NaN,0.75,0.75,NaN,0.454,22000,60000,200000,5.894,50,18.1,NaN
2008,7,17,15:45:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.58,1.38,1.39,1.37,200,NaN,NaN,NaN,0.17,0.01,NaN,NaN,0.58,0.56,0.59,0.22,NaN,NaN,NaN,5,NaN,21.3,NaN
2008,7,21,14:24:00,33.6061,-117.9311,0,Newport Pier,0,0,2.37,1.41,1.44,1.38,200,0,NaN,0,0.53,NaN,NaN,NaN,0.6,0.6,0.6,0.26,5200,0,0,4,25,20,NaN
2008,7,21,14:50:00,32.867,-117.257,0,Scripps Pier,0,0,0.34,1.23,1.21,1.24,200,0,NaN,0,0.17,0.01,NaN,NaN,0.49,0.49,0.48,0.19,560,1840,240,4.7,50,20.2,NaN
2008,7,21,15:30:00,34.008,-118.499,0,Santa Monica Pier,0,0,4.32,2.00475,2.00475,NaN,200,0,NaN,2992,1.01,0.12,21224,3646,NaN,NaN,NaN,0.44,935,9070,0,5.34,NaN,20,500
2008,7,22,16:30:00,34.408,-119.685,0,Stearns Wharf,1200,0,7.786,1.14,1.14,NaN,200,200,0,3500,0.486,0.22,NaN,NaN,1.37,1.37,NaN,0.685,600,900,2000,8.684,50,18.8,NaN
2008,7,24,15:40:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.24,1.91,1.93,1.88,NaN,NaN,NaN,NaN,0.16,0.01,NaN,NaN,0.61,0.62,0.59,0.16,NaN,NaN,NaN,4.2,NaN,20.1,NaN
2008,7,28,14:45:00,33.6061,-117.9311,0,Newport Pier,0,0,3.23,1.64,1.57,1.71,200,0,NaN,0,0.81,0.17,NaN,NaN,0.65,0.6,0.7,0.15,0,41598,0,3,25,22,NaN
2008,7,28,15:00:00,34.008,-118.499,0,Santa Monica Pier,0,0,0.14,7.33445,7.33445,NaN,200,374,NaN,2805,1.22,0.08,124729,NaN,NaN,NaN,NaN,0.23,0,1683,0,5.3,NaN,21,500
2008,7,28,16:45:00,32.867,-117.257,0,Scripps Pier,0,0,0.71,2.41,2.37,2.44,200,160,NaN,0,0.21,0,NaN,NaN,0.39,0.41,0.36,0.13,960,4880,0,4.7,50,22.4,NaN
2008,7,28,17:00:00,34.408,-119.685,0,Stearns Wharf,4000,250,3.516,2.76,2.76,NaN,200,150,0,1000,0.676,0.212,NaN,NaN,0.94,0.94,NaN,0.553,4200,0,900,8.233,50,19.4,NaN
2008,7,31,16:00:00,32.867,-117.257,0,Scripps Pier,NaN,NaN,0.63,1.29,1.29,1.29,NaN,NaN,NaN,NaN,0.19,0.02,NaN,NaN,0.47,0.45,0.48,0.23,NaN,NaN,NaN,5.1,NaN,21.1,NaN
2008,8,4,14:34:00,33.6061,-117.9311,0,Newport Pier,0,0,3.43,2.02,1.98,2.06,200,0,NaN,0,0.46,NaN,NaN,NaN,0.95,0.9,1,0.19,0,0,0,5,25,23,NaN
